lem,index,token,stem,pos,counts
base,1,based,base,VB,2180
woman,3,woman,woman,NN,1912
relationship,49,relationship,relationship,NN,1872
director,4,director,director,NN,1588
love,229,love,love,NN,1249
novel,162,novel,novel,NN,1030
book,168,book,book,NN,998
murder,172,murder,murder,NN,964
film,40,film,film,NN,909
child,194,child,child,NN,852
school,531,school,school,NN,777
family,431,family,famili,NN,759
new,59,new,new,JJ,697
drug,289,drugs,drug,NN,692
war,352,war,war,NN,649
violence,178,violence,violenc,NN,563
comedy,38,comedy,comedi,NN,562
story,361,story,stori,NN,552
gay,237,gay,gay,NN,547
police,31,police,polic,NN,546
friendship,15,friendship,friendship,NN,522
independent,3189,independent,independ,JJ,520
death,69,death,death,NN,514
true,360,true,true,JJ,496
biography,623,biography,biographi,NN,483
killer,344,killer,killer,NN,460
city,9,city,citi,NN,456
high,536,high,high,JJ,451
world,134,world,world,NN,438
parent,132,parent,parent,NN,434
duringcreditsstinger,22,duringcreditsstinger,duringcreditssting,NN,424
friend,514,friends,friend,NN,418
father,130,father,father,NN,417
christmas,843,christmas,christma,NN,414
lgbt,944,lgbt,lgbt,NN,405
york,60,york,york,NN,394
sport,2012,sports,sport,NN,384
revenge,641,revenge,reveng,NN,383
car,91,car,car,NN,382
comic,0,comics,comic,NN,370
secret,694,secret,secret,NN,363
sequel,32,sequel,sequel,NN,360
short,776,short,short,JJ,355
teenager,277,teenager,teenag,NN,350
loss,1108,loss,loss,NN,348
music,1151,music,music,NN,345
mother,211,mother,mother,NN,334
england,197,england,england,NN,333
france,1539,france,franc,NN,331
movie,387,movie,movi,NN,327
alien,931,alien,alien,NN,323
life,68,life,life,NN,322
century,264,century,centuri,NN,321
man,54,man,man,NN,321
teenage,135,teenage,teenag,NN,313
art,115,arts,art,NN,307
musical,787,musical,music,JJ,306
female,199,female,femal,NN,297
anime,706,anime,anim,NN,297
time,78,time,time,NN,295
young,279,young,young,JJ,294
california,14,california,california,NN,294
daughter,212,daughter,daughter,NN,290
age,716,age,age,NN,285
animal,250,animal,anim,NN,279
sibling,3077,sibling,sibl,VB,276
marriage,436,marriage,marriag,NN,275
male,657,male,male,NN,274
party,480,party,parti,NN,267
student,702,student,student,NN,267
remake,28,remake,remak,NN,265
wife,304,wife,wife,NN,265
prison,756,prison,prison,NN,264
girl,598,girl,girl,NN,262
dog,260,dog,dog,NN,258
serial,343,serial,serial,JJ,257
husband,303,husband,husband,NN,256
game,11,game,game,NN,255
horror,568,horror,horror,NN,253
come,715,coming,come,VB,253
suicide,185,suicide,suicid,NN,249
american,1056,american,american,JJ,245
kidnapping,43,kidnapping,kidnap,NN,243
space,498,space,space,NN,242
fight,24,fight,fight,NN,242
future,501,future,futur,NN,241
house,612,house,hous,NN,238
superhero,141,superhero,superhero,NN,237
adult,280,adult,adult,NN,233
interest,1517,interest,interest,NN,230
romance,300,romance,romanc,NN,225
travel,83,travel,travel,NN,223
son,1208,son,son,NN,222
aftercreditsstinger,4468,aftercreditsstinger,aftercreditssting,NN,221
wedding,471,wedding,wed,NN,218
abuse,176,abuse,abus,NN,214
sex,58,sex,sex,NN,212
ghost,985,ghost,ghost,NN,209
monster,284,monster,monster,NN,209
crime,87,crime,crime,NN,209
power,291,power,power,NN,209
sexual,1633,sexual,sexual,JJ,208
rape,656,rape,rape,NN,208
zombie,439,zombie,zombi,NN,208
teacher,67,teacher,teacher,NN,206
gang,1690,gang,gang,NN,206
investigation,997,investigation,investig,NN,204
town,340,town,town,NN,203
martial,114,martial,martial,NN,200
video,10,video,video,NN,199
blood,3541,blood,blood,NN,199
london,1591,london,london,NN,197
supernatural,573,supernatural,supernatur,JJ,197
brother,137,brother,brother,NN,196
paris,2349,paris,pari,NN,196
dystopia,437,dystopia,dystopia,NN,195
teen,209,teen,teen,NN,195
magic,128,magic,magic,NN,194
road,16,road,road,NN,194
holiday,428,holiday,holiday,NN,193
college,1054,college,colleg,NN,192
detective,30,detective,detect,NN,188
