,Unnamed: 0,id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average
0,17280,43544,What Fault Is It of Ours?,2003-01-10,['Comedy'],9ItBvH5J6ss,Seven people in a therapy group are forced to find new ways of coping with their problems when their therapist dies in the middle of a session.,,"['psychoanalysis', 'neurosis']",5.495,86.0,6.3
1,9454,77560,Faust,2011-09-08,"['Fantasy', 'Drama']",E_KXBchFCC4,"Faust inhabits an earthy, 19th-century world of primitive autopsies and medical rituals. He becomes obsessed with the beautiful Margarete and desperately turns to a physically grotesque moneylender to conjure their union.",,[],8.154,108.0,6.9
2,5598,326665,Aziz Ansari: Live at Madison Square Garden,2015-03-06,['Comedy'],q3tq4-IXA0M,"Ansari headlines the iconic Madison Square Garden and delivers his most hilarious and insightful stand-up yet. Filmed in front of a sold-out audience, Ansari's latest special is an uproarious document of the comic in top form -- covering topics ranging from the struggle of American immigrants to the food industry to relationships to gender inequality.",,['stand-up comedy'],6.045,94.0,6.7
3,14214,61717,Wendy Wu: Homecoming Warrior,2006-06-16,"['Action', 'Adventure', 'Family', 'TV Movie']",n6ZILYoI5nE,"It is the story of an average, popular American teenager named Wendy Wu who discovers that in order to win the coveted crown she must first learn the way of the warrior. Wendy Wu has a one track mind, and that track leads directly to the title of homecoming queen -- no unscheduled stops, and no unnecessary detours. When a mysterious Chinese monk named Shen arrives to mold Wendy into a fearless kung fu warrior, however, her royal aspirations suddenly jump the track as she desperately attempts to juggle her boyfriend, her homework, and of course, the fierce competition to become homecoming queen. Now, as Wendy begins to train her mind, body, and spirit in the ancient tradition of the martial arts and her inner warrior gradually begins to emerge, the girl who once obsessed over popularity finally begins to put that popularity into perspective as she gradually realizes what truly matters in life.",,"['martial arts', 'chinese', 'martial arts master', 'fighting', 'ancient china', 'female martial artist']",16.242,307.0,6.1
4,15617,27843,Tokyo Zombie,2005-12-10,"['Comedy', 'Horror']",toWaQ9fam5E,"Two Japanese friends accidentally kill their boss and dump his remains in Black Fuji, a mountain/landfill hybrid. This leads to poor results when the chemicals of the landfill mix with the corpse (and many other corpses) to give rise to a zombie infestation in Tokyo.",,['zombie'],2.7110000000000003,28.0,5.6
5,16785,172513,Green Vinyl,2004-11-25,"['Drama', 'Fantasy', 'Horror']",O0JQA2HQMtc,"A mother gives her daughter a box full of old, coloured little vinyl records. The daughter may listen to them, but she should never, ever, play the green one.",,[],1.042,15.0,6.1
6,1741,586344,Badge Of Steel,2019-11-15,"['Comedy', 'Action', 'Crime']",9NF7czH1m_I,An honest cop teams with a corrupt one in order to stop a criminal band.,,[],45.961999999999996,54.0,7.6
7,16919,24199,Ellis in Glamourland,2004-09-24,"['Drama', 'Comedy']",u0eSP_FTtwA,,,[],2.825,12.0,5.3
8,7441,170759,Kokowääh 2,2013-01-27,['Comedy'],ziGhVajlbds,"Who said a patchwork family is without problems? Two years after the turbulence of Kokowääh, everyday life turns to everyday chaos…",,[],9.6,137.0,6.1
9,10779,60981,My Joy,2010-09-30,['Drama'],C45v9ffd3OI,"A routine run for a truck driver turns into a nightmare he can’t escape in this psychological drama from filmmaker Sergei Loznitsa. Georgy (Viktor Nemets) is driving a load of freight into Russia when, after an unpleasant encounter with the police at a border crossing, he finds himself giving a lift to a strange old man (Vladimir Golovin) with disturbing stories about his younger days in the Army. After next picking up a young woman (Olga Shuvalova) who works as a prostitute and is wary of the territory, Georgy finds himself lost, and despite asking some homeless men for help, he’s less sure than he was before of how to make his way back where he belongs. As brutal images of violence and alienation cross the screen, Georgy’s odyssey becomes darker and more desperate until it reaches an unexpected conclusion.",,[],2.0580000000000003,33.0,6.8
10,7602,211755,Hunter x Hunter: Phantom Rouge,2013-01-12,"['Animation', 'Adventure']",KeeY2W7phbM,"Kurapika became a Hunter to take vengeance on the Class-A crime group Phantom Troupe who massacred his clan for their unique eyes. The eyes of the Kurta clan turn scarlet in times of anger or emotional agitation and are considered the most beautiful treasures in the world. Kurapika continues to pursue the Phantom Troupe but an unknown party has stolen his ""scarlet eyes"". With the help of Gon, Killua and Leorio, Kurapika' s life was saved. However, the Phantom Troupe shows up before them and blocks their way. The true identity of the one with the No.4 spider tattoo is about to be unveiled.",,[],23.07800000000001,79.0,6.6
11,17969,112183,Secrets of the State,2003-09-02,['Drama'],uCYjbux_dCM,"On the first of May 1947, the bandit Salvatore Giuliano conducted a raid to the mountain pass Portella della Ginestra, with a view to capturing Sicily's most prominent communist, Giacomo Licausi. What actually happened was a regular massacre, leaving fourteen people dead and more than thirty wounded. In 1951, about a year after Giulano's violent death, his men are tried in Viterbo. Unconvinced by the official version, Gaspare Pasciotta's lawyer, decides to travel to Sicily and starts investigating the facts.",,[],0.742,9.0,6.7
12,1800,537651,Sibel,2019-01-04,['Drama'],rjGVeYXy5vQ,"25-year-old Sibel lives with her father and sister in a secluded village in the mountains of Turkey’s Black Sea region. Sibel is a mute, but she communicates by using the ancestral whistled language of the area.",,[],2.395,49.0,6.9
13,5720,331116,La prima volta (di mia figlia),2015-03-19,['Comedy'],UqRD0LRviMk,"Alberto (Riccardo Rossi) is a local doctor, neat freak, separated by ten years and totally dedicated - emotionally and emotionally - to old daughter, Bianca (Benedetta Gargari). A day like all the others of his life completely organized, methodical and tidy, comes a bolt from the blue: the law of the hidden diary of Bianca that his little girl is going to make love for the first time! Alberto is in a panic, had not imagined it could get that day for her daughter: the angel of his life ...",,[],4.251,67.0,4.8
14,6780,257093,Dark House,2014-03-14,"['Horror', 'Thriller']",E2TRb9aEbis,A young man sets out on a trip that takes him to an abandoned mansion that holds the origins of his dark family legacy.,,[],6.191,61.0,5.0
15,6717,279968,White Settlers,2014-09-05,"['Horror', 'Mystery', 'Thriller']",WGA7R-4uThM,"Young urban couple Ed and Sarah are set to begin a new life when they move from London into an isolated borders Scottish farmhouse. After falling in love with the 19th century Castle Farm and seeing its potential as a fixer-upper they are anxious to get started on the renovations. In bed on their first night Sarah thinks she can hear noises in the darkness but Ed is disbelieving saying it’s her imagination playing tricks. Persisting in her fear they are not alone in the house, she forces Ed to investigate. When he doesn’t return after a scarily long period, she goes downstairs to investigate only to be confronted by a welcoming committee of masked intruders. As she desperately searches for Ed, a terrifying game of cat and mouse ensues with the mysterious assailants. But what do they want and what horrors do they have planned for the two newcomers?",,"['scotland', 'mask', 'knife', 'pig', 'farm', 'forest', 'murder', 'home invasion', 'masked man', 'pig mask', 'one night', 'broken glass', 'isolated farmhouse']",9.522,69.0,4.7
16,1938,599484,Hell Girl,2019-04-02,['Horror'],Zo5wuctIMWk,A demonic creature not of this world impregnates a woman. 160 years later a team of ghost hunters must set aside their quick buck party mentality when they discover one of their team is the offspring of the entity haunting the place - and its true target. The offspring and her friends become uneasy allies with the ghost of the mother to destroy the demon and restore harmony.,,"['demon', 'ghost hunting']",9.891,37.0,5.8
17,11476,22175,The Shortcut,2009-02-07,"['Mystery', 'Horror', 'Thriller']",eIcvgAfzmVY,"When Derek moves to a new town and discovers a shortcut through the woods to his high school, he learns about a crazy old man who lives near its path: Legend has it that he abducted a group of teenagers years ago. Ignoring the warning, Derek and his friends set out to uncover the dark secret that's buried deep in the woods. But will they survive to tell it?",,"['secret', 'high school', 'woods', 'urban legend']",12.602,82.0,4.6
18,4107,376866,Jackie,2016-12-02,['Drama'],g9pW3B8Ycc4,"An account of the days of First Lady, Jacqueline Kennedy, in the immediate aftermath of John F. Kennedy's assassination in 1963.",https://www.youtube.com/watch?v=g9pW3B8Ycc4,"['assassination', 'u.s. president', 'widow', 'john f. kennedy', 'biography', 'dallas texas', 'president', 'first lady', 'kennedy family', 'kennedy assassination', 'usa history', '1960s', 'jackie kennedy']",13.155999999999999,1817.0,6.4
19,1698,608813,In Full Bloom,2019-06-19,['Action'],UHnYCpYlBuY,"Set shortly after the end of World War II, IN FULL BLOOM is a philosophical boxing drama of two fighters from opposite worlds (USA and Japan) who are pulled together for a questionable fight arranged by their unscrupulous managers and the Yakuza.",,[],145.565,60.0,7.1
20,19896,452006,Talk Sex,2001-01-01,"['Romance', 'Drama']",BQpvO0qwAiQ,An attractive radio hot line worker becomes romantically involved with callers.,,['radio dj'],26.377,8.0,5.5
