id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average
299536,Avengers: Infinity War,2018-04-25,"['Adventure', 'Action', 'Science Fiction']",6ZfuNTqbHE8,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",https://www.youtube.com/watch?v=6ZfuNTqbHE8,"['magic', 'sacrifice', 'superhero', 'based on comic', 'space', 'battlefield', 'genocide', 'magical object', 'super power', 'team', 'aftercreditsstinger', 'marvel cinematic universe', 'cosmic']",363.611,20883,8.3
284054,Black Panther,2018-02-13,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",xjDjIWPwcPU,"King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",https://www.youtube.com/watch?v=xjDjIWPwcPU,"['africa', 'superhero', 'based on comic', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",150.259,16784,7.4
424694,Bohemian Rhapsody,2018-10-24,"['Music', 'Drama', 'History']",mP0VHJYFOAU,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",https://www.youtube.com/watch?v=mP0VHJYFOAU,"['london, england', 'aids', '1970s', 'queen', 'musician', 'biography', 'based on a true story', 'hiv', 'male homosexuality', 'singer', 'fame', 'rock band', 'music band', 'lgbt', '1980s', 'parsi', 'gay', '2018']",66.796,12751,8
383498,Deadpool 2,2018-05-10,"['Action', 'Comedy', 'Adventure']",D86RtevtfrA,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,https://www.youtube.com/watch?v=D86RtevtfrA,"['hero', 'mutant', 'mercenary', 'sequel', 'superhero', 'based on comic', 'breaking the fourth wall', 'duringcreditsstinger', 'x-men', 'deadpool']",127.174,12746,7.5
333339,Ready Player One,2018-03-28,"['Science Fiction', 'Adventure', 'Action']",cSp1dM2Vj48,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",https://www.youtube.com/watch?v=cSp1dM2Vj48,"['video game', 'based on novel or book', 'future', 'virtual reality', 'dystopia', 'nostalgia', 'love', 'evil corporation', 'quest', '1980s', '2040s', 'based on young adult novel', 'columbus, ohio']",189.803,10862,7.6
335983,Venom,2018-09-28,"['Science Fiction', 'Action']",u9Mv98Gr5pY,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",https://www.youtube.com/watch?v=u9Mv98Gr5pY,"['san francisco, california', 'spacecraft', 'anti hero', 'alien life-form', 'superhero', 'based on comic', 'spin off', 'aftercreditsstinger', 'duringcreditsstinger', 'business tycoon', 'genetic experiment', 'spiderverse', ""sony's marvel universe""]",302.71,10278,6.8
297802,Aquaman,2018-12-07,"['Action', 'Adventure', 'Fantasy']",WDkg3h8PCVU,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",https://www.youtube.com/watch?v=WDkg3h8PCVU,"['dc comics', 'hero', 'atlantis', 'half-brother', 'superhero', 'based on comic', 'royalty', 'shark', 'duringcreditsstinger', 'dc extended universe']",124.116,9978,6.9
260513,Incredibles 2,2018-06-14,"['Action', 'Adventure', 'Animation', 'Family']",i5qOzqD9Rms,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",https://www.youtube.com/watch?v=i5qOzqD9Rms,"['married couple', 'sequel', 'superhero', 'children', 'computer animation', 'parenting', 'family', 'super power']",86.756,9595,7.5
363088,Ant-Man and the Wasp,2018-07-04,"['Action', 'Adventure', 'Science Fiction', 'Comedy']",8_rTIAOohas,"Just when his time under house arrest is about to end, Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission.",https://www.youtube.com/watch?v=8_rTIAOohas,"['insect', 'ant', 'shrinking', 'sequel', 'superhero', 'based on comic', 'miniaturization', 'giant man', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",121.807,9360,7
447332,A Quiet Place,2018-04-03,"['Horror', 'Drama', 'Science Fiction']",WR7cc5t7tv8,A family is forced to live in silence while hiding from creatures that hunt by sound.,https://www.youtube.com/watch?v=WR7cc5t7tv8,"['deaf', 'fireworks', 'pregnancy', 'post-apocalyptic future', 'alien life-form', 'child in peril', 'alien invasion', 'parenting', 'survival horror', 'psychological horror', 'human vs alien', 'sign languages']",83.255,9288,7.3
