id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average,n_keyf
68728,Oz the Great and Powerful,2013-03-07,"['Fantasy', 'Adventure', 'Family']",yyywumlnhdw,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",https://www.youtube.com/watch?v=yyywumlnhdw,"['circus', 'witch', 'magic', 'hope', 'illusion', 'magic trick', 'wizard', 'based on young adult novel']",24.269000000000002,5569,5.9,4863
167,K-PAX,2001-10-22,"['Drama', 'Science Fiction']",YV5s07zI-Bg,"Prot is a patient at a mental hospital who claims to be from a far away planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",https://www.youtube.com/watch?v=YV5s07zI-Bg,"['robbery', 'dream', 'hypnosis', 'investigation', 'murder', 'alien', 'hospital', 'planet', 'patient', 'medication', 'psychiatrist', 'science', 'claim', 'doubt', 'mental']",13.82,1609,7.2,4311
4960,"Synecdoche, New York",2008-10-24,['Drama'],XIizh6nYnTU,"A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play.",https://www.youtube.com/watch?v=XIizh6nYnTU,"['new york city', 'man-woman relation', 'theater director', 'writer']",9.456,886,7.6,4539
35117,The Duel,2000-02-03,"['Action', 'Comedy', 'Fantasy']",TiRkJY3w-w4,The sword saint requests a duel with god of sword at the apex of the forbidden city to determine the worlds best. As the date of the duel nears troubles befall the imperial town until everything is revealed at the climactic fight.,https://www.youtube.com/watch?v=TiRkJY3w-w4,[],2.696,23,6.4,4308
435,The Day After Tomorrow,2004-05-26,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Ze8Gshk53Y8,"After years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new Ice Age. Paleoclimatologist, Jack Hall tries to warn the world while also shepherding to safety his son, trapped in New York after the city is overwhelmed by the start of the new big freeze.",https://www.youtube.com/watch?v=Ze8Gshk53Y8,"['saving the world', 'library', 'cataclysm', 'climate change', 'greenhouse effect', 'tornado', 'twister', 'hurricane', 'hail', 'temperature drop', 'ice age', 'polar zone', 'meteorology', 'gulfstream', 'barrier ice', 'ice melting', 'third world', 'exodus', 'evacuation', 'climate', 'government', 'snow', 'los angeles, california', 'antarctica', 'scientist', 'cell phone', 'doomsday', 'disaster movie', 'helicopter crash', 'disaster film']",36.174,5792,6.5,4185
74534,The Best Exotic Marigold Hotel,2011-11-28,"['Drama', 'Comedy']",y7KT6lZjk3A,"British retirees travel to India to take up residence in what they believe is a newly restored hotel. Less luxurious than its advertisements, the Marigold Hotel nevertheless slowly begins to charm in unexpected ways as the residents find new purpose in their old age.",https://www.youtube.com/watch?v=y7KT6lZjk3A,"['holiday', 'hotel', 'based on novel or book', 'asia', 'operation', 'married couple', 'racist', 'india', 'elderly', 'jaipur india', 'personal growth', 'outsourcing']",10.325,955,6.9,4464
13223,Gran Torino,2008-12-09,['Drama'],vLkBUix_D3U,"Widower Walt Kowalski is a grumpy, prejudiced, tough-minded, unhappy, old, Korean War veteran who can't get along with either his kids or his neighbours. His prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbour, Thao—a young Hmong teenager under pressure from his gang member cousin—tries to steal his Gran Torino, Walt sets out to reform the youth and takes steps to protect Thao and his family from the gangs that infest their neighborhood.",https://www.youtube.com/watch?v=vLkBUix_D3U,"['rape', 'war veteran', 'immigration', 'gangster', 'priest', 'gang', 'old man', 'teenager', 'detroit, michigan', 'widower', 'car', 'hmong']",17.57,7913,8.0,4143
96724,Anna Karenina,2012-09-06,"['Drama', 'Romance']",Z-nyXX5zOLg,"Trapped in a loveless marriage, aristocrat Anna Karenina enters into a life-changing affair with the affluent Count Vronsky.",https://www.youtube.com/watch?v=Z-nyXX5zOLg,"['adultery', 'horse race', 'based on novel or book', 'st. petersburg, russia', 'death', 'high society', 'imperial russia', '19th century']",13.942,1750,6.7,4224
1372,Blood Diamond,2006-01-26,"['Drama', 'Thriller', 'Action']",YG_a8lw512A,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",https://www.youtube.com/watch?v=YG_a8lw512A,"['africa', 'rebel', 'loss of loved one', 'journalist', 'journalism', 'slavery', 'mercenary', 'diamond mine', 'sierra leone', 'bootlegger', 'fisherman', 'special unit', 'smuggling', 'rwandan genocide', 'oppression', '1990s', 'private military company']",30.362,5434,7.5,4923
440,Aliens vs Predator: Requiem,2007-12-25,"['Fantasy', 'Action', 'Science Fiction', 'Thriller', 'Horror']",YrTXTb03Ixc,"The iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever—in our own backyard. The small town of Gunnison, Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms—the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town, Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town.",https://www.youtube.com/watch?v=YrTXTb03Ixc,"['predator', 'colorado', 'national guard', 'hybrid', 'alien', 'morgue', 'alien possession', 'triangle', 'infestation', 'xenomorph']",39.762,1829,5.0,4989
19959,Surrogates,2009-09-24,"['Science Fiction', 'Action', 'Thriller']",Zl_h9RaL0es,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",https://www.youtube.com/watch?v=Zl_h9RaL0es,"['clone', 'future', 'dystopia', 'murder', 'robot']",16.779,2330,6.1,4674
