lem,index,token,stem,pos,counts
base,29,based,base,VB,213
novel,48,novel,novel,NN,105
relationship,101,relationships,relationship,NN,100
book,49,book,book,NN,95
love,203,loved,love,VB,84
duringcreditsstinger,596,duringcreditsstinger,duringcreditssting,NN,65
murder,96,murder,murder,NN,63
new,82,new,new,JJ,58
school,71,school,school,NN,54
child,72,child,child,NN,54
woman,78,woman,woman,NN,54
war,479,war,war,NN,53
alien,3,alien,alien,NN,47
aftercreditsstinger,474,aftercreditsstinger,aftercreditssting,NN,45
california,258,california,california,NN,44
world,132,world,world,NN,43
city,61,city,citi,NN,42
story,31,story,stori,NN,42
violence,161,violence,violenc,NN,42
biography,28,biography,biographi,NN,42
drug,193,drugs,drug,NN,40
death,44,death,death,NN,39
space,13,space,space,NN,39
comic,246,comic,comic,JJ,39
dystopia,1,dystopia,dystopia,NN,38
true,30,true,true,JJ,37
family,100,family,famili,NN,37
director,79,director,director,NN,36
future,89,future,futur,NN,36
york,83,york,york,NN,35
secret,145,secret,secret,NN,35
loss,202,loss,loss,NN,35
car,165,car,car,NN,35
friendship,415,friendship,friendship,NN,34
century,138,century,centuri,NN,33
time,90,time,time,NN,31
superhero,244,superhero,superhero,NN,29
england,284,england,england,NN,29
young,3017,young,young,JJ,27
parent,114,parent,parent,NN,27
female,235,female,femal,NN,27
friend,664,friend,friend,NN,27
high,660,high,high,JJ,27
fight,242,fight,fight,NN,26
travel,14,travel,travel,NN,26
revenge,390,revenge,reveng,NN,25
life,909,life,life,NN,25
adult,1546,adult,adult,NN,25
police,183,police,polic,NN,25
art,205,arts,art,NN,25
film,66,film,film,NN,24
hero,1630,hero,hero,NN,24
identity,146,identity,ident,NN,23
los,398,los,lo,NN,23
mother,33,mother,mother,NN,23
angeles,399,angeles,angel,NN,23
age,329,age,age,NN,23
comedy,57,comedy,comedi,NN,23
sequel,2261,sequel,sequel,NN,23
france,426,france,franc,NN,23
robot,421,robot,robot,NN,23
sport,1710,sports,sport,NN,22
magic,2010,magic,magic,NN,22
daughter,210,daughter,daughter,NN,22
race,91,race,race,NN,22
teenage,459,teenage,teenag,NN,22
intelligence,910,intelligence,intellig,NN,22
martial,204,martial,martial,NN,21
marriage,447,marriage,marriag,NN,21
sibling,168,sibling,sibl,VB,20
investigation,93,investigation,investig,NN,20
paris,425,paris,pari,NN,20
universe,251,universe,univers,NN,20
chase,184,chase,chase,NN,20
mission,152,mission,mission,NN,20
killer,59,killer,killer,NN,20
lgbt,2883,lgbt,lgbt,NN,19
teenager,821,teenager,teenag,NN,19
gay,2018,gay,gay,NN,18
remake,177,remake,remak,NN,18
crime,181,crime,crime,NN,18
conspiracy,1092,conspiracy,conspiraci,NN,17
writer,341,writer,writer,NN,17
power,452,power,power,NN,17
suicide,2295,suicide,suicid,NN,16
house,601,house,hous,NN,16
wedding,379,wedding,wed,NN,16
hotel,307,hotel,hotel,NN,16
die,153,dying,die,VB,16
musical,433,musical,music,JJ,16
evil,1125,evil,evil,NN,16
gang,584,gang,gang,NN,16
army,486,army,armi,NN,16
wife,1188,wife,wife,NN,16
soldier,1153,soldier,soldier,NN,16
dark,56,dark,dark,NN,16
computer,157,computer,comput,NN,16
assassin,1238,assassin,assassin,NN,16
survival,5,survival,surviv,NN,15
super,451,super,super,NN,15
crisis,448,crisis,crisi,NN,15
music,276,music,music,NN,15
movie,653,movie,movi,NN,15
person,256,person,person,NN,15
history,95,history,histori,NN,15
father,94,father,father,NN,15
marvel,250,marvel,marvel,NN,15
detective,86,detective,detect,NN,15
man,51,man,man,NN,15
thriller,63,thriller,thriller,NN,14
game,271,game,game,NN,14
american,80,american,american,JJ,14
kidnapping,1073,kidnapping,kidnap,NN,14
black,2079,black,black,JJ,14
husband,1187,husband,husband,NN,14
artificial,1620,artificial,artifici,JJ,14
addiction,313,addiction,addict,NN,14
date,2634,date,date,NN,14
sword,228,sword,sword,NN,14
fbi,260,fbi,fbi,NN,14
agent,156,agent,agent,NN,14
dream,791,dream,dream,NN,14
street,53,street,street,NN,14
prison,879,prison,prison,NN,14
sea,1737,sea,sea,NN,13
journalist,318,journalist,journalist,NN,13
terrorist,1342,terrorist,terrorist,NN,13
cult,65,cult,cult,NN,13
italy,113,italy,itali,NN,13
undercover,148,undercover,undercov,NN,13
spy,4578,spy,spi,NN,13
neonoir,409,neonoir,neonoir,NN,13
british,1144,british,british,JJ,13
hospital,378,hospital,hospit,NN,13
opera,1175,opera,opera,NN,12
abuse,1990,abuse,abus,NN,12
assassination,1408,assassination,assassin,NN,12
journalism,1660,journalism,journal,NN,12
wall,52,wall,wall,NN,12
government,1322,government,govern,NN,12
cia,143,cia,cia,NN,12
prostitute,1588,prostitute,prostitut,NN,12
london,2524,london,london,NN,12
crash,9,crash,crash,NN,12
invasion,1333,invasion,invas,NN,12
come,328,coming,come,VB,11
bank,552,bank,bank,NN,11
desert,232,desert,desert,NN,11
terrorism,550,terrorism,terror,NN,11
