id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average
35117,The Duel,2000-02-03,"['Action', 'Comedy', 'Fantasy']",TiRkJY3w-w4,The sword saint requests a duel with god of sword at the apex of the forbidden city to determine the worlds best. As the date of the duel nears troubles befall the imperial town until everything is revealed at the climactic fight.,https://www.youtube.com/watch?v=TiRkJY3w-w4,[],2.696,23,6.4
2787,Pitch Black,2000-02-18,"['Thriller', 'Science Fiction', 'Action']",RU3eJmbyqzA,"When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light.",https://www.youtube.com/watch?v=RU3eJmbyqzA,"['darkness', 'dystopia', 'comet', 'alien life-form', 'survival', 'eclipse', 'flask', 'spaceship crash']",7.499,3272,6.8
2067,Mission to Mars,2000-03-10,"['Science Fiction', 'Thriller']",xwcI3fkKeiw,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate.",https://www.youtube.com/watch?v=xwcI3fkKeiw,"['planet mars', 'spacecraft', 'space travel', 'space', 'alien', 'long take', 'astronaut', 'dismemberment', 'alien contact', 'trapped in space']",15.899,943,5.9
10429,Takedown,2000-03-15,"['Thriller', 'Crime', 'Action', 'Drama']",2Kdpiaqx7KI,"Kevin Mitnick is quite possibly the best hacker in the world. Hunting for more and more information, seeking more and more cyber-trophies every day, he constantly looks for bigger challenges. When he breaks into the computer of a security expert and an ex-hacker, he finds one - and much more than that...",https://www.youtube.com/watch?v=2Kdpiaqx7KI,"['hacker', 'internet', 'hacking']",10.024,114,6.2
462,Erin Brockovich,2000-03-17,['Drama'],keZXGaDvK2s,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",https://www.youtube.com/watch?v=keZXGaDvK2s,"['biography', 'based on a true story', 'single mother', 'water pollution', 'environmental law', 'corporate negligence']",12.511,2093,7.4
9532,Final Destination,2000-03-17,['Horror'],pna8QJDfJUE,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",https://www.youtube.com/watch?v=pna8QJDfJUE,"['omen', 'airplane accident', 'corpse', 'death', 'near-death experience']",36.627,3743,6.5
1359,American Psycho,2000-04-13,"['Thriller', 'Drama', 'Crime', 'Horror']",5YnGhW4UEhc,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",https://www.youtube.com/watch?v=5YnGhW4UEhc,"['based on novel or book', 'business man', 'wall street', 'psychopath', 'satire', 'dark comedy', 'serial killer', 'big city', 'psychological thriller', 'city', 'cult film', 'white collar', 'harvard business school', 'child of divorce', 'voice imitation', 'unreliable narrator', 'woman director', '1980s', 'american businessman']",24.227,6307,7.3
10559,Frequency,2000-04-28,"['Science Fiction', 'Thriller']",i6VQxn6HK_c,"When a rare phenomenon gives police officer John Sullivan the chance to speak to his father, 30 years in the past, he takes the opportunity to prevent his dad's tragic death.  After his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time.",https://www.youtube.com/watch?v=i6VQxn6HK_c,"['new york city', 'mother', 'detective', 'baseball', 'radio', 'future', 'time', 'race against time', 'investigation', 'father', 'history', 'murder', 'paranormal', 'flashback', 'rescue', 'family relationships', 'escape', 'explosion', 'firefighter', 'phenomenon', 'amateur radio', 'aurora borealis', 'altering history']",11.935,1126,7.2
98,Gladiator,2000-05-01,"['Action', 'Drama', 'Adventure']",owK1qxDselE,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",https://www.youtube.com/watch?v=owK1qxDselE,"['rome, italy', 'parent child relationship', 'gladiator', 'arena', 'senate', 'roman empire', 'emperor', 'slavery', 'ancient rome', 'battlefield', 'slave auction', 'historical fiction', 'ancient world', 'combat', 'chariot', 'philosopher', 'barbarian horde', '2nd century', 'successor', 'commodus', 'maximus']",38.032,13246,8.2
955,Mission: Impossible II,2000-05-24,"['Adventure', 'Action', 'Thriller']",vIpqpRuGrq4,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",https://www.youtube.com/watch?v=vIpqpRuGrq4,"['spain', 'cia', 'helicopter', 'secret identity', 'skyscraper', 'undercover', 'island', 'ex-lover', 'secret mission', 'dying and death', 'secret agent', 'computer', 'duel', 'lethal virus', 'violence', 'rescue team', 'agent', 'car', 'research laboratory']",29.047,4642,6.1
